optimizer_category,problem_type,optimizer_name,problem_name,best_result,best_step,used_budget,error_message,runtime,seed,efficiency
s,s,BOCA,HSQLDB,53667.0,208.0,281.0,,,105,0.2592592592592592
g,s,ES,HSQLDB,53674.6,115.0,281.0,,,105,0.2962962962962963
s,s,ConEx,HSQLDB,53462.4,148.0,281.0,,,105,0.2962962962962963
s,s,FLASH,HSQLDB,53681.4,145.0,281.0,,,105,0.2962962962962963
g,s,DE,HSQLDB,53667.0,80.0,281.0,,,105,0.2962962962962963
g,s,GA,HSQLDB,53608.0,249.0,280.0,,,105,0.2962962962962963
g,s,PSO,HSQLDB,53462.4,60.0,222.0,,,105,0.2962962962962963
a,a,irace,xgb-3917,0.01,2.0,147.0,,,105,2.0
g,a,PSO,xgb-3917,0.01,21.0,153.0,,,105,3.0
a,a,BOHB,xgb-3917,0.01,40.0,3.9970000000000008,,,105,3.9970000000000008
g,a,BO,xgb-3917,0.02,1.0,201.0,,,105,3.0
g,a,CMAES,xgb-3917,0.0,93.0,115.0,,,105,9.0
g,a,GA,xgb-3917,0.0,179.0,200.0,,,105,3.0
g,a,ES,xgb-3917,0.01,28.0,201.0,,,105,3.0
a,a,GGA,xgb-3917,0.0,8.0,201.0,,,105,4.0
g,a,DE,xgb-3917,0.01,16.0,201.0,,,105,3.0
a,a,UQGuided,xgb-3917,0.01,11.0,201.0,,,105,3.0
a,a,Hyperband,xgb-3917,0.01,61.0,10.993,,,105,3.9970000000000008
g,a,SA,xgb-3917,0.01,32.0,201.0,,,105,3.0
a,a,HEBO,xgb-3917,0.01,12.0,201.0,,,105,8.0
a,a,HABO,xgb-3917,0.01,18.0,131.0,,,105,4.0
g,a,ACO,xgb-3917,0.0,43.0,46.0,,,105,2.0
a,a,SMAC,xgb-3917,0.01,6.0,185.0,,,105,4.0
a,a,DEHB,xgb-3917,0.01,117.0,22.55555555555552,,,105,4.0
a,a,ParamILS,xgb-3917,0.0,68.0,91.0,,,105,3.0
g,a,RandomSearch,xgb-3917,0.0,25.0,201.0,,,105,3.0
g,a,HillClimbing,xgb-3917,0.01,18.0,51.0,,,105,3.0
a,a,irace,xgb-146822,0.0099999999999998,3.0,151.0,,,105,0.75
g,a,GA,xgb-146822,0.0099999999999998,1.0,176.0,,,105,0.5
a,a,DEHB,xgb-146822,0.0099999999999998,40.0,4.0,,,105,1.0
a,a,Hyperband,xgb-146822,0.0099999999999998,40.0,3.9970000000000008,,,105,0.9992500000000002
g,a,SA,xgb-146822,0.0099999999999998,1.0,177.0,,,105,0.5
g,a,BO,xgb-146822,0.0099999999999998,1.0,177.0,,,105,0.5
a,a,HABO,xgb-146822,0.0099999999999998,1.0,113.0,,,105,0.5
a,a,BOHB,xgb-146822,0.0,623.0,144.56200000000058,,,105,0.9622500000000002
g,a,ES,xgb-146822,0.0099999999999998,1.0,177.0,,,105,0.5
g,a,PSO,xgb-146822,0.0099999999999998,1.0,153.0,,,105,0.5
g,a,HillClimbing,xgb-146822,0.0099999999999998,1.0,36.0,,,105,0.5
a,a,SMAC,xgb-146822,0.0099999999999998,1.0,177.0,,,105,0.75
g,a,DE,xgb-146822,0.0099999999999998,1.0,177.0,,,105,0.5
g,a,RandomSearch,xgb-146822,0.0099999999999998,1.0,177.0,,,105,0.5
a,a,HEBO,xgb-146822,0.0,116.0,177.0,,,105,0.5
g,a,ACO,xgb-146822,0.0,21.0,29.0,,,105,0.75
g,a,CMAES,xgb-146822,0.0099999999999998,1.0,119.0,,,105,0.75
a,a,ParamILS,xgb-146822,0.0099999999999998,1.0,66.0,,,105,0.5
a,a,UQGuided,xgb-146822,0.0,33.0,177.0,,,105,0.5
a,a,GGA,xgb-146822,0.0099999999999998,1.0,177.0,,,105,1.25
s,s,ConEx,javagc,400.5,262.0,343.0,,,105,0.625
g,s,CMAES,javagc,404.0,11.0,343.0,,,105,0.125
s,s,ROBOTune,javagc,403.5,243.0,343.0,,,105,0.1875
g,s,HillClimbing,javagc,407.5,34.0,46.0,,,105,0.8125
s,s,SWAY,javagc,381.0,314.0,343.0,,,105,0.125
g,s,SA,javagc,404.0,99.0,175.0,,,105,1.125
s,s,ResTune,javagc,476.5,25.0,343.0,,,105,1.5625
g,s,ACO,javagc,402.0,251.0,324.0,,,105,0.6875
s,s,FLASH,javagc,403.0,177.0,343.0,,,105,0.625
s,s,Tuneful,javagc,494.5,16.0,67.0,,,105,1.0
s,s,BOCA,javagc,401.0,210.0,343.0,,,105,0.375
s,s,OtterTune,javagc,400.0,135.0,343.0,,,105,1.875
g,s,RandomSearch,javagc,400.5,242.0,343.0,,,105,0.625
g,s,DE,javagc,402.5,74.0,343.0,,,105,0.625
s,s,BestConfig,javagc,400.5,242.0,343.0,,,105,0.25
g,s,BO,javagc,403.0,285.0,343.0,,,105,0.625
g,s,PSO,javagc,402.5,112.0,194.0,,,105,0.625
g,s,GA,javagc,395.5,257.0,342.0,,,105,0.625
g,s,ES,javagc,402.5,77.0,343.0,,,105,0.625
s,s,ATConf,javagc,399.5,331.0,343.0,,,105,0.375
s,s,PromiseTune,javagc,403.5,170.0,343.0,,,105,0.1875
s,s,ResTune,LLVM,59362.6,10.0,290.0,,,105,0.0418410041841004
g,s,ACO,LLVM,52324.8,217.0,290.0,,,105,0.1799163179916318
s,s,ATConf,LLVM,54172.6,215.0,290.0,,,105,0.1338912133891213
g,s,ES,LLVM,52324.8,98.0,290.0,,,105,0.0627615062761506
g,s,CMAES,LLVM,52285.4,150.0,174.0,,,105,0.0209205020920502
s,s,ConEx,LLVM,52285.4,173.0,290.0,,,105,0.1506276150627615
s,s,FLASH,LLVM,52324.8,278.0,290.0,,,105,0.1297071129707113
s,s,OtterTune,LLVM,52324.8,242.0,290.0,,,105,0.104602510460251
g,s,HillClimbing,LLVM,52285.4,52.0,66.0,,,105,0.0878661087866108
s,s,ROBOTune,LLVM,54264.4,189.0,290.0,,,105,0.1548117154811715
g,s,SA,LLVM,52285.4,52.0,66.0,,,105,0.0502092050209205
s,s,Tuneful,LLVM,52285.4,34.0,51.0,,,105,0.0920502092050209
g,s,PSO,LLVM,52285.4,212.0,272.0,,,105,0.1255230125523012
g,s,DE,LLVM,59040.2,223.0,290.0,,,105,0.9330543933054394
s,s,BestConfig,LLVM,56873.8,111.0,290.0,,,105,0.1506276150627615
s,s,PromiseTune,LLVM,52285.4,93.0,290.0,,,105,0.0920502092050209
s,s,SWAY,LLVM,57468.0,49.0,290.0,,,105,0.205020920502092
g,s,BO,LLVM,56873.8,12.0,290.0,,,105,0.0502092050209205
g,s,GA,LLVM,60820.4,239.0,289.0,,,105,1.0
g,s,RandomSearch,LLVM,56873.8,111.0,290.0,,,105,0.1506276150627615
s,s,BOCA,LLVM,52285.4,26.0,290.0,,,105,0.0920502092050209
g,s,GA,7z,4369.4,167.0,307.0,,,105,1.0
s,s,OtterTune,7z,4392.6,36.0,308.0,,,105,2.857142857142857
s,s,ResTune,7z,4836.4,10.0,308.0,,,105,1.4285714285714286
g,s,ACO,7z,4352.8,240.0,280.0,,,105,1.8571428571428568
g,s,BO,7z,9183.8,7.0,308.0,,,105,1.0
s,s,Tuneful,7z,5172.6,5.0,308.0,,,105,0.7142857142857143
s,s,ATConf,7z,4215.8,120.0,308.0,,,105,1.0
g,s,CMAES,7z,4215.8,223.0,308.0,,,105,1.4285714285714286
s,s,ConEx,7z,4276.6,236.0,308.0,,,105,1.0
g,s,RandomSearch,7z,4369.4,150.0,308.0,,,105,1.0
s,s,ROBOTune,7z,4601.6,106.0,308.0,,,105,7.0
g,s,ES,7z,4276.6,288.0,308.0,,,105,1.0
s,s,FLASH,7z,4215.8,167.0,308.0,,,105,1.0
s,s,BestConfig,7z,4369.4,150.0,308.0,,,105,1.0
g,s,PSO,7z,4277.2,269.0,285.0,,,105,1.0
g,s,DE,7z,4215.8,21.0,308.0,,,105,1.0
s,s,PromiseTune,7z,4280.4,278.0,308.0,,,105,4.571428571428571
g,s,SA,7z,4275.6,140.0,284.0,,,105,5.857142857142857
s,s,SWAY,7z,4299.4,2.0,308.0,,,105,0.2857142857142857
g,s,HillClimbing,7z,9106.0,29.0,62.0,,,105,1.7142857142857142
s,s,BOCA,7z,4344.8,157.0,308.0,,,105,1.7142857142857142
a,a,irace,xgb-9952,0.0,22.0,79.0,,,105,1.0
a,a,GGA,xgb-9952,0.01,8.0,79.0,,,105,0.8888888888888888
g,a,PSO,xgb-9952,0.0,10.0,63.0,,,105,0.5555555555555556
a,a,BOHB,xgb-9952,0.0,104.0,18.95300000000002,,,105,0.4441111111111112
a,a,UQGuided,xgb-9952,0.0,16.0,79.0,,,105,0.5555555555555556
g,a,ES,xgb-9952,0.0,10.0,79.0,,,105,0.5555555555555556
a,a,DEHB,xgb-9952,0.0,40.0,4.0,,,105,0.4444444444444444
